number,,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,"Q1_1,Q2_2",Q1_c1,Q1_2_1,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1,Q1_1,Q1_12,Q1_12,Q1_1,Q1_1_2,Q1_1_2,Q1_1
2,"Q1_1,Q2_2_1",Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1,Q1_1,Q1_12,Q1_12,Q1_1,Q1_1_2,Q1_1_2,Q1_1
3,"Q1_1,Q2_1_2",Q1_1_2,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1_2,Q1_1,Q1_1,Q1_1_2,Q1_1_2,Q1_1,Q1_1_2,Q1_1_2,Q1_1
4,"Q1_1_2,Q2_2",Q1_1_2,Q1_F,Q1_1_2,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2
5,"Q1_1_2,Q2_2_1",Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_2_1,Q1_F,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2
6,"Q1_1_2,Q2_1_2",Q1_1_2,Q1_F,Q1_1_2,Q1_F,Q1_F,Q1_F,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2
7,"Q1_2_1,Q2_2",Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_2_1,Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_2_1,Q1_F,Q1_F,Q1_2_1
8,"Q1_2_1,Q2_2_1",Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_2_1,Q1_F,Q1_2_1,Q1_2_1,Q1_F,Q1_F,Q1_2_1,Q1_F,Q1_F,Q1_2_1
9,"Q1_2_1,Q2_1_2",Q1_F,Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_F,Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_F,Q1_F,Q1_2_1,Q1_F,Q1_F,Q1_2_1
10,"Q1_1,Q2_12",Q1_c1,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1,Q1_1,Q1_1_2,Q1_12,Q1_1,Q1_1_2,Q1_1_2,Q1_1
11,"Q1_1_2,Q2_12",Q1_1_2,Q1_F,Q1_1_2,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2
12,"Q1_2_1,Q2_12",Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_2_1,Q1_F,Q1_2_1,Q1_2_1,Q1_F,Q1_F,Q1_2_1,Q1_F,Q1_F,Q1_2_1
13,"Q1_12,Q2_2",Q1_c1,Q1_2_1,Q1_12,Q1_2_1,Q1_2_1,Q1_F,Q1_12,Q1_F,Q1_12,Q1_12,Q1_12,Q1_12,Q1_12,Q1_1_2,Q1_1_2,Q1_12
14,"Q1_12,Q2_2_1",Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_2_1,Q1_F,Q1_12,Q1_12,Q1_12,Q1_12,Q1_12,Q1_1_2,Q1_1_2,Q1_12
15,"Q1_12,Q2_1_2",Q1_1_2,Q1_F,Q1_12,Q1_2_1,Q1_2_1,Q1_F,Q1_12,Q1_1_2,Q1_12,Q1_12,Q1_1_2,Q1_1_2,Q1_12,Q1_1_2,Q1_1_2,Q1_12
16,"Q1_12,Q2_12",Q1_c1,Q1_F,Q1_12,Q1_2_1,Q1_2_1,Q1_F,Q1_12,Q1_F,Q1_12,Q1_12,Q1_1_2,Q1_12,Q1_12,Q1_1_2,Q1_1_2,Q1_12
17,"Q1_c1,Q2_12",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_c1,Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_c1,Q1_F,Q1_c1
18,"Q1_c1,Q2_2",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_c1,Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_c1,Q1_F,Q1_c1
19,"Q1_c1,Q2_1_2",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_c1,Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_c1,Q1_F,Q1_c1
20,"Q1_c1,Q2_2_1",Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F
21,"Q1_c1,Q2_c1",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_c1,Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_c1,Q1_F,Q1_c1
22,"Q1_12,Q2_c1",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_1_2,Q1_1_2,Q1_1_2,Q1_12,Q1_12,Q1_12,Q1_1_2,Q1_1_2,Q1_12
23,"Q1_1,Q2_c1",Q1_c1,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_1,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1,Q1_1,Q1_1,Q1_1_2,Q1_1_2,Q1_1
24,"Q1_1_2,Q2_c1",Q1_1_2,Q1_F,Q1_c1,Q1_F,Q1_F,Q1_F,Q1_c1,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2,Q1_1_2
25,"Q1_2_1,Q2_c1",Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_F,Q1_2_1,Q1_2_1,Q1_2_1,Q1_F,Q1_F,Q1_2_1
